Rainfall,Wind,Play,Temperature
Yes,Low,Yes,Low
Yes,Low,Yes,Low
Yes,Low,No,High
Yes,Low,Yes,Low
No,Low,Yes,High
No,Low,No,High
Yes,Low,Yes,High
Yes,High,No,High
Yes,High,Yes,High
No,Low,Yes,High
Yes,Low,No,High
No,Low,Yes,High
No,Low,Yes,High
No,High,No,High
No,High,No,High
No,High,Yes,High
Yes,Low,No,High
Yes,High,Yes,Low
Yes,Low,No,High
No,Low,No,Low
No,High,No,High
Yes,Low,Yes,Low
Yes,High,Yes,Low
Yes,High,Yes,High
Yes,High,No,Low
Yes,Low,No,High
No,High,No,Low
No,Low,No,High
Yes,High,No,Low
No,Low,No,High
Yes,High,No,High
Yes,High,Yes,High
No,Low,Yes,Low
No,High,Yes,Low
Yes,High,No,High
No,High,Yes,Low
Yes,Low,No,High
Yes,High,Yes,High
Yes,High,Yes,Low
No,Low,Yes,Low
No,Low,Yes,Low
No,Low,Yes,High
Yes,High,Yes,Low
No,High,Yes,High
Yes,High,Yes,High
No,High,Yes,High
No,Low,Yes,Low
No,High,Yes,Low
Yes,Low,Yes,High
Yes,High,Yes,Low
No,High,Yes,High
No,Low,Yes,High
No,High,No,Low
Yes,High,No,High
Yes,Low,Yes,High
No,High,Yes,Low
Yes,High,Yes,High
Yes,Low,Yes,Low
No,High,Yes,Low
Yes,Low,No,Low
Yes,Low,No,Low
No,High,No,High
No,High,No,Low
No,High,Yes,High
Yes,High,Yes,High
No,High,Yes,Low
Yes,High,No,Low
No,Low,No,High
Yes,High,Yes,Low
Yes,Low,Yes,Low
Yes,High,Yes,High
No,Low,No,Low
No,Low,Yes,Low
Yes,High,Yes,Low
Yes,High,Yes,High
Yes,High,Yes,High
No,Low,Yes,High
No,Low,Yes,High
Yes,Low,Yes,High
No,High,No,High
Yes,Low,No,High
No,Low,Yes,Low
Yes,High,Yes,Low
Yes,Low,No,High
Yes,High,Yes,High
Yes,Low,Yes,Low
No,High,No,High
No,High,No,High
Yes,Low,No,Low
No,High,No,High
No,Low,No,Low
No,Low,No,Low
No,Low,Yes,Low
Yes,Low,No,High
Yes,High,Yes,Low
No,High,Yes,High
No,Low,No,High
Yes,Low,Yes,Low
No,High,No,Low
No,Low,No,Low
No,Low,Yes,High
Yes,High,No,High
Yes,High,No,Low
Yes,High,Yes,Low
No,High,Yes,Low
Yes,High,No,Low
No,High,No,High
No,Low,Yes,Low
No,High,Yes,Low
No,Low,Yes,Low
Yes,High,Yes,Low
No,High,No,High
No,Low,No,Low
No,Low,Yes,Low
No,High,No,Low
Yes,High,No,Low
Yes,Low,Yes,Low
Yes,Low,No,High
No,High,Yes,Low
No,Low,Yes,Low
Yes,High,Yes,High
No,Low,Yes,High
Yes,Low,Yes,Low
Yes,Low,Yes,High
No,High,Yes,Low
No,Low,No,High
Yes,Low,Yes,High
No,High,Yes,Low
No,High,No,Low
No,High,Yes,Low
Yes,Low,Yes,Low
No,High,No,High
No,Low,Yes,Low
No,High,No,High
No,High,No,High
Yes,Low,Yes,High
Yes,Low,No,High
Yes,High,Yes,High
Yes,High,Yes,Low
Yes,Low,No,Low
No,Low,Yes,Low
No,Low,No,Low
No,High,Yes,Low
Yes,High,No,Low
No,Low,Yes,Low
No,Low,No,High
Yes,High,No,Low
Yes,Low,Yes,Low
Yes,High,No,Low
Yes,High,Yes,High
No,Low,No,Low
Yes,Low,No,High
No,Low,No,Low
No,Low,Yes,High
No,Low,Yes,High
No,Low,No,High
Yes,Low,No,High
Yes,High,No,Low
Yes,High,Yes,Low
Yes,Low,Yes,High
No,High,No,High
Yes,Low,Yes,High
No,High,Yes,Low
Yes,Low,Yes,Low
Yes,Low,No,Low
No,Low,Yes,High
Yes,Low,Yes,Low
Yes,Low,No,Low
No,High,Yes,High
Yes,High,Yes,Low
No,Low,Yes,Low
Yes,Low,Yes,High
Yes,Low,No,High
No,Low,No,Low
Yes,High,No,Low
Yes,Low,Yes,High
No,High,No,Low
No,Low,Yes,Low
No,High,No,High
Yes,High,Yes,High
Yes,Low,Yes,Low
Yes,Low,No,High
Yes,Low,No,Low
Yes,Low,Yes,Low
No,High,No,High
No,High,Yes,High
Yes,High,No,High
Yes,High,No,Low
No,Low,No,High
Yes,High,No,High
No,Low,Yes,High
Yes,High,No,Low
No,High,No,Low
No,Low,Yes,High
No,Low,Yes,High
No,High,Yes,High
Yes,High,Yes,High
No,High,No,High
No,Low,Yes,High
Yes,High,No,Low
Yes,Low,Yes,High
Yes,Low,No,Low
No,Low,Yes,High
No,High,No,Low
Yes,High,Yes,High
No,Low,Yes,Low
No,Low,No,Low
No,High,No,High
Yes,High,No,Low
No,High,Yes,High
Yes,High,Yes,High
No,High,Yes,Low
No,Low,No,High
No,High,Yes,High
Yes,High,No,Low
No,High,No,High
Yes,Low,No,High
Yes,Low,No,High
Yes,High,No,Low
Yes,Low,No,High
Yes,High,No,Low
No,Low,Yes,Low
No,Low,No,Low
Yes,Low,Yes,Low
Yes,High,No,High
No,Low,No,Low
Yes,Low,No,High
Yes,Low,No,High
No,High,No,Low
No,Low,No,High
Yes,Low,Yes,High
No,Low,Yes,High
No,High,No,Low
No,High,Yes,Low
No,High,No,Low
Yes,Low,Yes,High
No,High,No,High
No,High,No,Low
No,High,No,High
Yes,High,Yes,High
No,High,No,Low
No,Low,Yes,Low
Yes,High,No,Low
No,High,Yes,High
No,Low,No,High
Yes,High,No,Low
Yes,High,No,High
Yes,High,No,High
Yes,Low,Yes,High
No,Low,Yes,Low
No,High,Yes,Low
No,Low,No,Low
No,High,No,High
No,High,Yes,Low
No,High,No,High
Yes,Low,Yes,Low
Yes,High,No,Low
No,Low,No,High
Yes,Low,Yes,High
Yes,High,No,Low
Yes,High,Yes,Low
No,Low,Yes,High
Yes,High,Yes,Low
No,Low,Yes,Low
No,High,No,Low
Yes,Low,No,High
Yes,High,No,Low
No,High,No,Low
Yes,Low,Yes,Low
No,High,No,Low
No,High,No,High
No,High,No,Low
No,High,No,Low
Yes,High,Yes,High
Yes,Low,No,High
No,Low,No,Low
No,High,Yes,Low
No,High,Yes,High
No,Low,No,High
Yes,Low,Yes,Low
No,High,No,High
No,High,No,Low
No,High,No,Low
No,Low,Yes,High
Yes,High,Yes,High
No,High,No,Low
Yes,Low,Yes,High
No,Low,No,High
Yes,High,No,High
Yes,High,Yes,Low
Yes,High,Yes,High
Yes,High,No,High
Yes,Low,No,High
Yes,Low,No,High
No,Low,No,Low
No,High,Yes,High
No,High,Yes,High
No,High,Yes,High
Yes,Low,No,Low
No,High,Yes,Low
Yes,High,Yes,High
Yes,High,Yes,Low
No,Low,Yes,High
No,Low,Yes,High
Yes,High,Yes,Low
Yes,High,Yes,High
Yes,High,No,High
Yes,High,No,Low
No,Low,No,Low
Yes,Low,Yes,High
Yes,Low,No,Low
No,High,No,High
No,High,Yes,Low
No,High,No,High
Yes,Low,No,High
Yes,Low,No,Low
No,High,Yes,Low
No,Low,No,Low
No,Low,Yes,High
Yes,Low,Yes,Low
Yes,High,No,High
No,Low,No,Low
Yes,Low,Yes,Low
Yes,Low,Yes,Low
No,High,No,High
No,Low,No,Low
No,Low,Yes,Low
Yes,High,No,Low
No,High,No,Low
Yes,Low,Yes,High
Yes,High,No,High
No,High,Yes,High
No,Low,No,Low
No,High,No,Low
Yes,High,No,Low
Yes,High,Yes,Low
No,High,No,High
No,Low,Yes,Low
Yes,Low,No,High
No,Low,Yes,High
Yes,Low,Yes,Low
Yes,Low,No,Low
No,Low,No,High
No,Low,Yes,Low
No,Low,Yes,High
No,High,No,Low
Yes,High,No,High
No,Low,No,Low
Yes,Low,No,Low
No,Low,No,Low
No,High,No,High
Yes,High,Yes,High
Yes,High,Yes,High
Yes,Low,No,High
Yes,Low,No,Low
No,High,Yes,Low
No,High,No,High
Yes,Low,Yes,Low
Yes,Low,Yes,Low
No,High,No,High
No,Low,No,High
No,High,No,High
No,Low,Yes,Low
No,High,Yes,High
Yes,Low,No,High
No,High,Yes,High
Yes,Low,Yes,Low
No,Low,Yes,Low
Yes,High,Yes,Low
Yes,High,Yes,High
No,Low,Yes,Low
Yes,High,Yes,Low
Yes,Low,No,High
Yes,Low,Yes,Low
Yes,High,Yes,Low
No,Low,No,Low
No,High,No,Low
Yes,High,Yes,Low
No,Low,Yes,Low
Yes,High,Yes,High
Yes,Low,No,Low
No,Low,Yes,High
No,High,Yes,High
Yes,High,No,High
Yes,High,No,Low
Yes,Low,Yes,High
No,Low,Yes,Low
Yes,Low,Yes,Low
No,Low,No,High
No,High,Yes,High
Yes,Low,Yes,Low
No,Low,Yes,Low
No,Low,No,Low
No,High,No,Low
No,High,No,Low
No,High,Yes,High
Yes,Low,Yes,High
Yes,High,No,Low
No,Low,Yes,Low
Yes,Low,No,High
No,High,No,High
No,High,Yes,Low
Yes,High,Yes,High
No,High,No,High
No,High,Yes,Low
No,Low,No,Low
Yes,High,Yes,High
Yes,Low,Yes,High
No,Low,Yes,High
No,High,Yes,High
Yes,High,No,Low
No,High,No,Low
No,Low,No,Low
Yes,Low,No,High
Yes,High,No,High
Yes,High,Yes,Low
Yes,High,No,High
No,High,Yes,Low
No,High,No,High
Yes,Low,Yes,High
No,High,No,High
Yes,High,Yes,High
Yes,Low,Yes,Low
No,High,No,High
No,Low,Yes,Low
Yes,Low,No,Low
Yes,High,No,High
Yes,High,No,Low
Yes,High,No,Low
No,Low,No,Low
Yes,High,No,High
No,High,No,Low
No,High,Yes,Low
Yes,High,Yes,Low
Yes,High,No,High
No,High,No,High
Yes,Low,No,High
Yes,High,No,High
No,Low,Yes,High
Yes,Low,Yes,High
No,High,Yes,High
No,High,Yes,High
No,Low,Yes,Low
Yes,High,Yes,High
No,Low,No,Low
Yes,Low,Yes,High
Yes,High,No,Low
No,High,No,High
No,High,Yes,High
Yes,Low,Yes,Low
No,High,No,Low
No,Low,No,High
Yes,Low,Yes,Low
No,Low,Yes,Low
No,High,No,Low
No,Low,Yes,Low
Yes,Low,No,High
Yes,High,Yes,Low
No,High,Yes,High
Yes,Low,Yes,High
Yes,Low,No,High
Yes,High,No,Low
No,Low,No,Low
No,High,Yes,High
Yes,Low,Yes,Low
No,Low,Yes,Low
No,High,No,High
Yes,High,Yes,High
Yes,High,Yes,High
Yes,High,No,High
No,Low,Yes,Low
Yes,Low,Yes,Low
Yes,High,Yes,Low
Yes,Low,No,Low
No,Low,Yes,High
Yes,Low,Yes,High
Yes,High,No,Low
No,High,No,Low
No,High,No,High
Yes,High,Yes,High
Yes,Low,No,High
No,Low,Yes,High
No,High,Yes,Low
No,High,Yes,Low
No,High,Yes,Low
Yes,High,Yes,High
Yes,Low,Yes,High
No,Low,Yes,Low
Yes,High,Yes,Low
No,Low,Yes,High
No,Low,No,High
No,Low,Yes,Low
No,High,Yes,Low
No,Low,No,Low
No,Low,Yes,Low
Yes,Low,Yes,High
No,High,No,High
No,High,No,Low
Yes,Low,No,High
No,Low,Yes,Low
No,High,No,High
No,Low,No,Low
Yes,High,Yes,High
Yes,High,No,High
No,Low,Yes,High
Yes,High,No,High
Yes,Low,No,High
Yes,Low,No,High
No,Low,Yes,High
No,Low,Yes,Low
No,Low,No,Low
No,Low,Yes,High
Yes,Low,No,Low
No,High,No,High
Yes,High,No,Low
No,High,Yes,High
No,Low,Yes,Low
Yes,Low,Yes,High
Yes,Low,Yes,Low
No,High,No,Low
No,Low,No,Low
Yes,Low,No,Low
Yes,Low,Yes,Low
No,High,Yes,Low
Yes,Low,Yes,Low
No,Low,Yes,Low
Yes,High,Yes,Low
No,Low,Yes,High
Yes,High,No,Low
Yes,High,Yes,High
Yes,Low,Yes,High
No,Low,Yes,High
Yes,High,Yes,Low
Yes,High,No,High
Yes,Low,No,High
No,Low,Yes,High
Yes,High,No,Low
No,High,Yes,High
Yes,High,No,Low
Yes,High,No,High
No,Low,No,High
Yes,High,Yes,Low
No,Low,Yes,Low
No,Low,No,Low
No,Low,No,High
No,High,No,High
Yes,High,Yes,High
No,Low,No,Low
No,Low,No,High
No,Low,No,Low
Yes,High,No,High
No,High,Yes,Low
Yes,Low,Yes,High
No,Low,No,Low
No,Low,No,High
Yes,High,Yes,High
No,High,No,High
No,High,No,Low
Yes,Low,No,High
Yes,Low,Yes,Low
No,Low,Yes,High
No,High,Yes,Low
No,High,Yes,Low
Yes,High,Yes,High
No,High,No,High
Yes,Low,Yes,High
No,High,No,High
No,Low,Yes,High
No,Low,No,Low
No,High,Yes,Low
Yes,Low,No,High
No,Low,No,High
Yes,High,No,High
Yes,Low,No,Low
No,High,Yes,High
Yes,High,Yes,High
Yes,High,Yes,Low
Yes,High,No,Low
Yes,Low,No,Low
No,High,No,High
Yes,Low,Yes,Low
No,High,Yes,Low
Yes,Low,No,High
No,Low,No,High
Yes,Low,Yes,Low
Yes,High,No,High
Yes,Low,Yes,High
Yes,Low,Yes,Low
Yes,Low,Yes,Low
Yes,High,No,High
Yes,Low,Yes,Low
No,Low,No,High
No,Low,No,Low
No,Low,No,High
Yes,Low,Yes,Low
Yes,Low,No,Low
Yes,Low,No,High
No,Low,No,Low
Yes,High,No,Low
No,Low,No,High
No,Low,Yes,High
No,High,Yes,High
No,High,No,High
No,High,No,Low
Yes,High,Yes,High
Yes,High,Yes,Low
Yes,Low,No,Low
Yes,Low,No,High
Yes,Low,No,High
Yes,Low,No,High
Yes,High,No,High
No,High,Yes,High
Yes,Low,Yes,Low
Yes,High,Yes,Low
No,High,Yes,High
Yes,Low,No,High
No,Low,No,Low
Yes,Low,No,High
No,Low,No,High
No,Low,Yes,Low
Yes,High,Yes,Low
No,Low,No,High
No,Low,Yes,High
Yes,Low,No,High
No,Low,Yes,High
Yes,High,Yes,Low
No,Low,Yes,Low
No,Low,Yes,High
No,Low,No,High
No,High,Yes,High
No,Low,No,High
Yes,Low,No,High
No,Low,Yes,Low
No,Low,Yes,High
Yes,Low,Yes,Low
No,Low,No,Low
Yes,Low,Yes,Low
No,Low,Yes,High
No,Low,No,Low
No,High,Yes,High
No,Low,Yes,High
Yes,High,Yes,Low
Yes,High,No,High
Yes,Low,Yes,High
No,Low,No,High
Yes,High,No,Low
Yes,High,No,Low
Yes,High,No,Low
Yes,High,Yes,Low
Yes,High,No,Low
No,Low,Yes,High
No,Low,No,Low
Yes,Low,Yes,High
No,High,Yes,High
No,Low,No,High
No,High,No,High
Yes,High,Yes,Low
No,High,No,Low
No,Low,No,High
Yes,Low,Yes,High
Yes,High,Yes,High
No,Low,Yes,High
No,High,No,High
No,Low,No,Low
Yes,Low,Yes,High
Yes,High,No,High
No,High,No,High
Yes,High,No,High
Yes,Low,Yes,Low
No,Low,Yes,Low
Yes,Low,Yes,High
Yes,Low,Yes,Low
Yes,Low,No,High
No,Low,Yes,High
Yes,Low,Yes,Low
Yes,High,No,Low
Yes,Low,No,High
Yes,High,No,Low
Yes,Low,No,Low
No,Low,No,Low
Yes,Low,Yes,High
Yes,Low,Yes,High
Yes,High,No,High
Yes,Low,Yes,Low
No,Low,No,Low
Yes,High,Yes,Low
Yes,High,No,Low
No,High,Yes,High
No,Low,Yes,Low
No,High,No,Low
No,High,Yes,Low
Yes,High,Yes,Low
No,High,Yes,High
No,High,No,High
No,Low,No,Low
Yes,Low,Yes,High
Yes,High,No,High
No,Low,Yes,Low
No,High,No,High
No,High,No,Low
No,Low,No,High
Yes,Low,Yes,High
No,High,Yes,High
No,Low,Yes,Low
No,Low,No,High
Yes,Low,Yes,High
Yes,High,Yes,Low
Yes,Low,Yes,Low
No,High,No,High
Yes,High,Yes,Low
Yes,High,No,Low
No,High,No,Low
No,Low,No,High
No,High,Yes,Low
No,High,Yes,High
No,Low,No,Low
Yes,High,Yes,High
Yes,Low,No,High
Yes,High,Yes,High
Yes,Low,No,Low
Yes,Low,Yes,High
No,Low,Yes,High
Yes,Low,Yes,Low
Yes,Low,Yes,High
No,High,Yes,Low
Yes,Low,No,High
No,High,No,Low
Yes,High,Yes,Low
Yes,High,No,High
Yes,Low,No,Low
No,Low,Yes,High
Yes,High,No,Low
No,Low,Yes,High
No,High,Yes,High
Yes,High,No,High
No,Low,Yes,Low
No,High,No,Low
Yes,Low,Yes,Low
Yes,Low,Yes,High
Yes,Low,Yes,Low
Yes,High,Yes,Low
Yes,Low,Yes,Low
Yes,Low,Yes,Low
Yes,High,Yes,Low
Yes,High,No,Low
Yes,High,No,High
Yes,High,Yes,High
Yes,High,Yes,High
No,Low,No,High
No,High,Yes,High
Yes,Low,No,Low
Yes,Low,No,High
Yes,High,Yes,Low
No,High,Yes,Low
No,Low,No,Low
No,High,Yes,High
No,Low,Yes,High
Yes,Low,Yes,High
No,Low,No,Low
No,High,Yes,Low
Yes,High,No,High
Yes,High,No,Low
Yes,Low,Yes,High
No,High,No,High
Yes,Low,No,Low
No,Low,Yes,Low
Yes,Low,No,Low
No,Low,Yes,Low
No,Low,No,Low
Yes,High,Yes,Low
Yes,High,No,Low
No,High,Yes,High
No,Low,No,Low
No,Low,Yes,Low
No,Low,Yes,Low
Yes,Low,Yes,High
No,High,No,High
Yes,Low,Yes,High
No,High,No,Low
No,High,No,High
Yes,High,No,High
No,Low,No,Low
Yes,Low,Yes,Low
No,High,No,High
Yes,High,No,Low
Yes,High,Yes,High
No,High,No,Low
No,High,No,High
Yes,High,No,High
No,High,No,High
Yes,Low,No,Low
Yes,Low,Yes,High
No,Low,No,High
No,High,Yes,Low
No,Low,No,Low
Yes,High,No,Low
No,Low,No,High
Yes,High,No,High
No,High,Yes,High
No,Low,No,High
No,High,No,High
No,Low,No,High
Yes,High,Yes,Low
No,High,Yes,High
Yes,Low,Yes,Low
No,High,No,High
No,Low,No,Low
Yes,Low,No,Low
Yes,Low,No,High
Yes,Low,Yes,Low
No,High,No,High
Yes,Low,Yes,Low
Yes,High,Yes,Low
No,High,Yes,High
Yes,Low,Yes,High
No,High,No,High
No,High,Yes,Low
Yes,High,No,Low
Yes,Low,No,High
Yes,Low,No,High
No,High,No,High
No,High,Yes,High
No,High,No,Low
No,High,Yes,High
No,High,Yes,High
No,High,No,Low
No,High,Yes,Low
No,High,Yes,Low
Yes,High,Yes,Low
No,High,No,Low
Yes,High,Yes,High
Yes,High,No,High
No,Low,Yes,High
No,High,No,High
Yes,High,Yes,High
Yes,High,No,High
No,High,No,Low
Yes,Low,Yes,Low
No,Low,Yes,Low
Yes,Low,Yes,High
Yes,High,No,Low
No,High,Yes,High
No,Low,No,High
Yes,Low,Yes,High
No,Low,Yes,Low
No,Low,No,High
No,Low,Yes,High
Yes,Low,No,Low
Yes,High,Yes,High
Yes,Low,Yes,Low
Yes,High,Yes,High
Yes,High,Yes,Low
Yes,High,No,Low
No,Low,No,High
Yes,High,No,Low
Yes,Low,Yes,High
No,High,Yes,High
No,Low,No,High
Yes,Low,No,High
Yes,High,Yes,Low
No,High,Yes,Low
Yes,High,No,High
No,Low,Yes,Low
No,High,Yes,High
No,Low,Yes,Low
Yes,High,No,High
No,High,No,Low
No,Low,Yes,High
Yes,Low,Yes,High
Yes,Low,No,High
No,High,No,Low
Yes,Low,No,High
Yes,Low,No,High
No,Low,No,High
Yes,High,Yes,High
No,High,Yes,High
No,High,Yes,High
No,High,Yes,Low
Yes,Low,Yes,High
No,Low,Yes,Low
Yes,Low,No,Low
Yes,High,No,High
No,Low,Yes,Low
No,High,Yes,High
No,Low,Yes,High
Yes,High,Yes,High
No,Low,Yes,Low
Yes,High,Yes,Low
Yes,Low,Yes,Low
No,Low,No,High
No,High,No,Low
No,High,No,Low
No,High,No,High
Yes,Low,Yes,Low
Yes,Low,No,High
Yes,Low,No,Low
